"Production Company","Qualified CT Expenditures","Date Issued","Amount of Tax Credit Issued","Program Name","Statutory Reference","Municipality"
"Double Dutch Bus Productions, Inc.","$34,106,109.00","2008-04-24T00:00:00.000","$10,231,832.7","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Made For Each Other, LLC","$698,660.00","2008-05-09T00:00:00.000","$209,598","Film and Digital Media Production Tax Credit","CGS 12-217jj","Milford"
"Roger Wilco Productions","$375,269.00","2008-05-13T00:00:00.000","$112,580","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Canaan"
"Six Wives, LLC","$6,943,677.00","2008-05-13T00:00:00.000","$2,083,103.1","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"The Other Side of the Tracks, LLC","$183,336.00","2008-06-06T00:00:00.000","$55,000.8","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"Old Dogs Productions, Inc.","$36,758,256.00","2008-07-01T00:00:00.000","$11,027,476.8","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Triple Threat Connecticut, LLC","$1,892,995.00","2008-08-20T00:00:00.000","$567,898.5","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Righteous Kill Productions, Inc.","$41,713,515.00","2008-08-24T00:00:00.000","$12,514,054.5","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stratford"
"TVK LLC","$1,269,481.00","2008-08-28T00:00:00.000","$380,844.3","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norfolk"
"EF Productions, Inc.","$21,618,099.00","2008-09-24T00:00:00.000","$6,485,429.7","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"CTTV, LLC","$570,603.00","2008-10-06T00:00:00.000","$171,180.9","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Pippa Lee, LLC","$7,153,604.00","2008-10-06T00:00:00.000","$2,146,081.2","Film and Digital Media Production Tax Credit","CGS 12-217jj","Danbury"
"Televersemedia LLC","$211,989.00","2008-10-06T00:00:00.000","$63,596.7","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Televersemedia LLC","$135,790.00","2008-10-06T00:00:00.000","$40,738.5","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Televersemedia, LLC","$61,707.00","2008-10-06T00:00:00.000","$18,512.4","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"DWNY Productions, Inc.","$25,691,598.00","2008-10-07T00:00:00.000","$7,707,479.4","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Sniscak Productions, Inc.","$11,472,054.00","2008-10-10T00:00:00.000","$3,441,616.2","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Genre Connecticut Productions LLC","$13,526,941.00","2008-10-22T00:00:00.000","$4,058,082.3","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"Camp Hope Productions LLC","$2,965,067.00","2008-11-07T00:00:00.000","$889,520.1","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Universal City Studios LLP","$560,771.00","2008-11-10T00:00:00.000","$168,239.4","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"DWNY Productions, Inc.","$693,398.00","2008-11-12T00:00:00.000","$208,019.4","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Lucky Cricket Productions, LLC","$19,940,224.00","2008-12-12T00:00:00.000","$5,982,067.2","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Friends with Benefits LP","$126,275.00","2008-12-22T00:00:00.000","$37,882.5","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hamden"
"TJ Productions, LLC","$13,158,771.00","2008-12-24T00:00:00.000","$3,947,631.3","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Harvest Films LLC","$434,450.00","2008-12-30T00:00:00.000","$130,335","Film and Digital Media Production Tax Credit","CGS 12-217jj","Madison"
"Independent Media, Inc.","$88,463.00","2009-01-05T00:00:00.000","$26,538.9","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"Venan Entertainment, Inc.","$1,025,040.00","2009-01-13T00:00:00.000","$307,512","Film and Digital Media Production Tax Credit","CGS 12-217jj","Cromwell"
"AGT Productions, LLC","$15,146,210.00","2009-01-22T00:00:00.000","$4,543,863","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Green Scarf Productions, Inc.","$24,656,588.00","2009-02-03T00:00:00.000","$7,396,976","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Captured Time Productions, LLC","$328,730.00","2009-02-10T00:00:00.000","$98,619","Film and Digital Media Production Tax Credit","CGS 12-217jj","Litchfield"
"Televersemedia LLC","$151,910.00","2009-02-20T00:00:00.000","$45,573","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Televersemedia LLC","$542,122.00","2009-02-20T00:00:00.000","$162,636","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Rabbit Ears Entertainment, LLC","$243,464.00","2009-02-24T00:00:00.000","$73,039","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Young American Heroes, LLC","$1,027,764.00","2009-02-24T00:00:00.000","$308,329","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Triple Threat Connecticut, LLC","$1,856,033.00","2009-02-27T00:00:00.000","$556,809","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Venan Entertainment, Inc.","$442,540.00","2009-03-03T00:00:00.000","$132,762","Film and Digital Media Production Tax Credit","CGS 12-217jj","Cromwell"
"NBC Olympics, Inc.","$326,671.00","2009-03-11T00:00:00.000","$98,001","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBC Sports Ventures Inc.","$1,182,923.00","2009-03-16T00:00:00.000","$354,876","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Soul Films, LLC","$240,780.00","2009-03-26T00:00:00.000","$72,234","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"PHC Productions, LLC","$1,204,821.00","2009-04-08T00:00:00.000","$361,446.3","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"DS Production, LLC","$1,021,588.00","2009-05-01T00:00:00.000","$306,476.4","Film and Digital Media Production Tax Credit","CGS 12-217jj","Torrington"
"Listen To Your Heart, LP","$603,062.00","2009-05-01T00:00:00.000","$180,918.6","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Fog Warning, LLC","$118,313.00","2009-05-18T00:00:00.000","$35,493.9","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Cormacks Productions","$503,594.00","2009-06-05T00:00:00.000","$151,078.2","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"Blue Sky Studios, Inc.","$17,940,989.00","2009-06-08T00:00:00.000","$3,588,197.8","Film Infrastructure Tax Credit","CGS 12-217kk","Greenwich"
"Chicken Soup for the Soul Entertainment, Inc.","$1,537,231.00","2017-07-18T00:00:00.000","$461,169","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Streamline Content","$208,242.00","2009-06-25T00:00:00.000","$62,472.6","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"PM Films, LLC","$103,450.00","2009-07-10T00:00:00.000","$31,035","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Reader Productions, Inc.","$115,800.00","2009-07-10T00:00:00.000","$34,740","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment Inc.","$2,764,497.00","2009-07-21T00:00:00.000","$829,349.1","Film and Digital Media Production Tax Credit","CGS 12-217jj",
"WWE","$1,580,018.00","2009-07-21T00:00:00.000","$474,005.4","Film and Digital Media Production Tax Credit","CGS 12-217jj",
"World Wrestling Entertainment","$625,084.00","2009-07-21T00:00:00.000","$187,525.2","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment Inc.","$2,513,943.00","2009-07-21T00:00:00.000","$754,182.9","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment, Inc.","$1,870,211.00","2009-07-21T00:00:00.000","$561,063.3","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Handmade TV, LLC","$51,691.00","2009-07-27T00:00:00.000","$15,507.3","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"MRB Productions","$282,901.00","2009-08-10T00:00:00.000","$84,870.3","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"Venan Entertainment, Inc.","$508,804.00","2009-08-19T00:00:00.000","$152,641.2","Film and Digital Media Production Tax Credit","CGS 12-217jj","Cromwell"
"NBC Olympics, Inc.","$998,465.00","2009-09-11T00:00:00.000","$299,539.5","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBC Sports Ventures Inc.","$2,480,279.00","2009-09-11T00:00:00.000","$744,083.7","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Blue Sky Studios, Inc.","$35,627,303.00","2009-09-23T00:00:00.000","$10,688,190.9","Digital Animation Production Company Tax Credit","CGS 12-217ll","Greenwich"
"Concentric Entertainment, LLC","$117,901.00","2009-09-25T00:00:00.000","$35,370.3","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"VRP2018, LLC","$1,114,428.00","2019-09-26T00:00:00.000","$334,328","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Orange Lion Productions, LLC","$81,260.00","2009-11-02T00:00:00.000","$24,378","Film and Digital Media Production Tax Credit","CGS 12-217jj","Fairfield"
"Orange Lion Productions, LLC","$241,683.00","2009-11-02T00:00:00.000","$72,504.9","Film and Digital Media Production Tax Credit","CGS 12-217jj","Fairfield"
"Orange Lion Productions, LLC","$394,018.00","2009-11-02T00:00:00.000","$118,205.4","Film and Digital Media Production Tax Credit","CGS 12-217jj","Fairfield"
"LifeMed Media Inc.","$1,207,253.00","2009-12-03T00:00:00.000","$362,176","Film and Digital Media Production Tax Credit","CGS 12-217jj","Westport"
"World Wrestling Entertainment","$1,860,926.00","2009-12-07T00:00:00.000","$558,277.8","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment Inc.","$4,848,049.00","2009-12-07T00:00:00.000","$1,454,414.7","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment Inc.","$3,968,264.00","2009-12-07T00:00:00.000","$1,190,479.2","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment Inc.","$396,603.00","2009-12-07T00:00:00.000","$118,980.9","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment Inc.","$2,809,182.00","2009-12-07T00:00:00.000","$842,754.6","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment Inc.","$361,216.00","2009-12-07T00:00:00.000","$108,364.8","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment Inc.","$356,387.00","2009-12-07T00:00:00.000","$106,916.1","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment, Inc.","$8,588,082.00","2009-12-07T00:00:00.000","$2,576,424.6","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment, Inc.","$219,570.00","2009-12-07T00:00:00.000","$65,871","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Revelation Films LLC","$66,150.00","2009-12-30T00:00:00.000","$19,845","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"DS Production, LLC","$1,015,885.00","2012-09-12T00:00:00.000","$304,766","Film and Digital Media Production Tax Credit","CGS 12-217jj","Salisbury"
"EF Productions, Inc.","$2,392,943.00","2010-01-06T00:00:00.000","$717,883","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"AGT Productions, LLC","$693,890.00","2010-01-14T00:00:00.000","$208,167","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Tibernia Productions, Inc.","$2,647,009.00","2010-01-14T00:00:00.000","$794,103","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Venan Entertainment, Inc.","$739,300.00","2010-01-19T00:00:00.000","$221,790","Film and Digital Media Production Tax Credit","CGS 12-217jj","Cromwell"
"World Wrestling Entertainment, Inc.","$25,313,556.00","2010-02-01T00:00:00.000","$5,062,711","Film Infrastructure Tax Credit","CGS 12-217kk","Stamford"
"345 Ely, LLC","$6,723,934.00","2010-02-10T00:00:00.000","$1,344,787","Film Infrastructure Tax Credit","CGS 12-217kk","Norwalk"
"Lucky Cricket Productions, LLC","$5,124,766.00","2010-02-16T00:00:00.000","$1,537,430","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"LifeMed Media Inc.","$1,373,495.00","2010-02-17T00:00:00.000","$412,049","Film and Digital Media Production Tax Credit","CGS 12-217jj","Westport"
"Rhino FX-CT, LLC","$151,954.00","2010-02-17T00:00:00.000","$45,586","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"The Brand Gallery","$193,604.00","2010-02-19T00:00:00.000","$29,041","Film Infrastructure Tax Credit","CGS 12-217kk","Greenwich"
"Dark Sky Productions, LLC","$550,630.00","2010-02-23T00:00:00.000","$165,189","Film and Digital Media Production Tax Credit","CGS 12-217jj","Torrington"
"Coral Beach Films, Inc.","$3,153,083.00","2010-03-15T00:00:00.000","$945,925","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Milford"
"Blue Sky Studios, Inc.","$24,731,235.00","2010-03-26T00:00:00.000","$7,419,371","Digital Animation Production Company Tax Credit","CGS 12-217ll","Greenwich"
"Ginkgo Leaf Productions, Inc.","$470,125.00","2010-04-05T00:00:00.000","$141,038","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"SimonPure Productions LLC","$54,089.00","2009-10-06T00:00:00.000","$16,226.7","Film and Digital Media Production Tax Credit","CGS 12-217jj","East Haddam"
"SimonPure Productions LLC","$81,392.00","2010-01-05T00:00:00.000","$24,418","Film and Digital Media Production Tax Credit","CGS 12-217jj","East Haddam"
"Fake LLC","$296,965.00","2010-04-19T00:00:00.000","$89,090","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Britain"
"MRB Productions, Inc.","$189,569.00","2010-04-19T00:00:00.000","$56,871","Film and Digital Media Production Tax Credit","CGS 12-217jj","Plainville"
"Cotreat Productions, Inc.","$197,397.00","2010-04-23T00:00:00.000","$59,219","Film and Digital Media Production Tax Credit","CGS 12-217jj","Sharon"
"Hope's Messengers, LLC","$344,388.00","2010-05-03T00:00:00.000","$103,316","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"National Media Connection LLC","$201,639.00","2010-05-04T00:00:00.000","$60,492","Film and Digital Media Production Tax Credit","CGS 12-217jj","New London"
"Sortasoft, LLC","$71,164.00","2010-05-04T00:00:00.000","$21,349","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Light Switch, Inc.","$154,274.00","2010-05-11T00:00:00.000","$46,282","Film and Digital Media Production Tax Credit","CGS 12-217jj","Milford"
"Colony Video 2015 Productions","$187,220.00","2016-11-10T00:00:00.000","$18,722","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stonington"
"Venan Entertainment, Inc.","$186,447.00","2010-05-11T00:00:00.000","$55,934","Film and Digital Media Production Tax Credit","CGS 12-217jj","Cromwell"
"CFC Stillwater, LLC","$11,236,612.00","2010-06-17T00:00:00.000","$2,247,322","Film Infrastructure Tax Credit","CGS 12-217kk","Stamford"
"LifeMed Media Inc.","$2,003,848.00","2010-06-17T00:00:00.000","$601,154","Film and Digital Media Production Tax Credit","CGS 12-217jj","Westport"
"ESPN/Starwave Partners G.P.","$18,867,756.00","2010-07-09T00:00:00.000","$5,660,327","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"Royal Oak Films, Inc.","$290,789.00","2010-07-20T00:00:00.000","$87,237","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Ron Hazelton Productions,Inc.","$1,329,351.00","2010-07-21T00:00:00.000","$398,805","Film and Digital Media Production Tax Credit","CGS 12-217jj","Fairfield"
"NBC Olympics, Inc.","$1,592,425.00","2010-07-30T00:00:00.000","$477,728","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBC Sports Ventures Inc.","$2,788,678.00","2010-07-30T00:00:00.000","$836,603","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Triple Threat Connecticut LLC","$466,369.00","2010-08-13T00:00:00.000","$139,911","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"WOOPs. LLC","$3,772,397.00","2010-08-30T00:00:00.000","$1,131,719","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Blue Sky Studios, Inc.","$28,932,241.00","2010-09-16T00:00:00.000","$7,580,629","Digital Animation Production Company Tax Credit","CGS 12-217ll","Greenwich"
"Budderfly Three, LLC","$114,024.00","2010-09-20T00:00:00.000","$34,207","Film and Digital Media Production Tax Credit","CGS 12-217jj","Milford"
"MessyHouse Moving Pictures","$143,998.00","2010-09-22T00:00:00.000","$43,199","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Synthetic Cinema International, LLC","$180,910.00","2010-09-22T00:00:00.000","$54,273","Film and Digital Media Production Tax Credit","CGS 12-217jj","Rocky Hill"
"Synthetic Cinema International, LLC","$127,842.00","2010-09-22T00:00:00.000","$38,353","Film and Digital Media Production Tax Credit","CGS 12-217jj","Rocky Hill"
"Georgetown Editing Studio LLC","$344,690.00","2010-09-29T00:00:00.000","$103,407","Film and Digital Media Production Tax Credit","CGS 12-217jj","Weston"
"World Wrestling Entertainment Inc.","$16,265,498.00","2010-09-30T00:00:00.000","$4,879,649","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment, Inc.","$7,647,076.00","2010-09-30T00:00:00.000","$2,294,123","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Kevin Productions, Inc.","$5,332,853.00","2010-10-12T00:00:00.000","$1,599,856","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"1080 Inc.","$95,819.00","2010-10-13T00:00:00.000","$28,746","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"AWTY Productions","$5,967,720.00","2010-10-28T00:00:00.000","$1,790,316","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Serial Buddies, LLC","$156,812.00","2010-10-28T00:00:00.000","$47,044","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Concentric Entertainment, LLC","$680,985.00","2010-11-01T00:00:00.000","$204,296","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Concentric Entertainment, LLC","$415,208.00","2010-11-01T00:00:00.000","$124,562","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Concentric Entertainment, LLC","$364,023.00","2010-11-01T00:00:00.000","$109,207","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Lock and Key Productions","$15,015,641.00","2010-11-03T00:00:00.000","$4,504,692","Film and Digital Media Production Tax Credit","CGS 12-217jj","Waterford"
"ESPN/Starwave Partners G.P.","$36,044,738.00","2010-11-04T00:00:00.000","$10,813,421","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"The Green The Movie Production, LLC","$353,060.00","2011-01-13T00:00:00.000","$35,306","Film and Digital Media Production Tax Credit","CGS 12-217jj","Guilford"
"Remote Broadcasting, Inc.","$21,154,467.00","2011-01-25T00:00:00.000","$6,346,340","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Venan Entertainment, Inc.","$1,371,140.00","2011-02-04T00:00:00.000","$411,342","Film and Digital Media Production Tax Credit","CGS 12-217jj","Cromwell"
"LifeMed Media Inc.","$1,527,415.00","2011-02-09T00:00:00.000","$458,225","Film and Digital Media Production Tax Credit","CGS 12-217jj","Westport"
"Ginkgo Leaf Productions, Inc.","$385,530.00","2011-02-25T00:00:00.000","$38,553","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Locomotive Distribution, Inc.","$1,060,483.00","2011-03-07T00:00:00.000","$318,145","Film and Digital Media Production Tax Credit","CGS 12-217jj","Ledyard"
"3 Week LLC","$436,388.00","2011-03-17T00:00:00.000","$130,916","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"GMEM Enterprises, LLC","$1,143,312.00","2011-03-17T00:00:00.000","$342,994","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"ESPN/Starwave Partners G.P.","$9,127,300.00","2011-03-22T00:00:00.000","$2,738,190","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"Blue Sky Studios, Inc.","$30,926,754.00","2011-03-24T00:00:00.000","$9,278,026","Digital Animation Production Company Tax Credit","CGS 12-217ll","Greenwich"
"AWTY Productions","$12,102,715.00","2011-04-19T00:00:00.000","$3,630,815","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Cable ReadyProductions, Inc.","$1,034,155.00","2011-04-25T00:00:00.000","$310,247","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"LifeMed Media Inc.","$2,399,584.00","2011-05-06T00:00:00.000","$719,875","Film and Digital Media Production Tax Credit","CGS 12-217jj","Westport"
"National Media Connection","$380,658.00","2011-06-28T00:00:00.000","$38,066","Film and Digital Media Production Tax Credit","CGS 12-217jj","New London"
"AWTY Productions","$9,911,692.00","2011-07-21T00:00:00.000","$2,973,508","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBC Olympics, Inc.","$1,500,192.00","2011-08-08T00:00:00.000","$450,058","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBC Sports Ventures Inc.","$2,650,625.00","2011-08-08T00:00:00.000","$795,186","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Triple Threat Connecticut LLC","$1,107,708.00","2011-08-10T00:00:00.000","$332,312","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Mako Games LLC","$593,380.00","2011-08-15T00:00:00.000","$89,007","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment Inc.","$17,466,471.00","2011-08-19T00:00:00.000","$5,239,941","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment, Inc.","$6,787,739.00","2011-08-19T00:00:00.000","$2,036,322","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"ESPN, Inc. Bldg. C","$33,426,976.00","2011-09-22T00:00:00.000","$6,685,395","Film Infrastructure Tax Credit","CGS 12-217kk","Bristol"
"Blue Sky Studios, Inc.","$32,600,177.00","2011-09-26T00:00:00.000","$5,721,974","Digital Animation Production Company Tax Credit","CGS 12-217ll","Greenwich"
"The Brand Gallery, LLC","$881,784.00","2011-09-30T00:00:00.000","$132,268","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Synthetic Cinema International LLC","$213,576.00","2011-10-26T00:00:00.000","$64,073","Film and Digital Media Production Tax Credit","CGS 12-217jj","Rocky Hill"
"AWTY Productions","$9,497,662.00","2011-11-02T00:00:00.000","$2,849,299","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Peeples Productions, Inc.","$9,501,602.00","2011-11-16T00:00:00.000","$2,850,481","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Colony Video 2016 Productions","$222,416.00","2018-02-02T00:00:00.000","$22,242","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stonington"
"Heartless Productions, LLC","$1,211,579.00","2011-12-09T00:00:00.000","$363,474","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"MBZ LLC","$2,921,969.00","2011-12-14T00:00:00.000","$876,591","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bridgeport"
"ESPN/Starwave Partners G.P.","$44,792,024.00","2011-12-15T00:00:00.000","$13,437,607","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"Hello I Must Be Going  Productions LLC","$375,819.00","2012-01-05T00:00:00.000","$37,582","Film and Digital Media Production Tax Credit","CGS 12-217jj","Westport"
"GHS Productions, LLC","$31,298,545.00","2012-01-17T00:00:00.000","$9,389,564","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Wedding Productions, Inc.","$27,783,584.00","2012-01-20T00:00:00.000","$8,335,075","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Venan Entertainment, Inc.","$1,383,853.00","2012-02-10T00:00:00.000","$415,156","Film and Digital Media Production Tax Credit","CGS 12-217jj","Cromwell"
"AWTY Productions","$9,377,727.00","2012-02-22T00:00:00.000","$2,813,318","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"ESPN/Starwave Partners G.P.","$8,495,221.00","2012-02-23T00:00:00.000","$2,548,566","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"LifeMed Media Inc.","$1,391,436.00","2012-02-23T00:00:00.000","$417,431","Film and Digital Media Production Tax Credit","CGS 12-217jj","Westport"
"Blue Sky Studios, Inc.","$7,803,086.00","2012-03-06T00:00:00.000","$1,570,618","Film Infrastructure Tax Credit","CGS 12-217kk","Greenwich"
"Concentric Entertainment, LLC","$1,478,441.00","2012-03-06T00:00:00.000","$443,532","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"The Brand Gallery, LLC","$520,599.00","2012-03-26T00:00:00.000","$78,090","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Blue Sky Studios, Inc.","$34,343,856.00","2012-03-29T00:00:00.000","$10,303,157","Digital Animation Production Company Tax Credit","CGS 12-217ll","Greenwich"
"Stamford Media Center Productions, LLC","$29,684,866.00","2012-04-11T00:00:00.000","$8,905,460","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$18,108,810.00","2012-04-11T00:00:00.000","$5,432,643","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$9,390,821.00","2012-04-11T00:00:00.000","$2,817,246","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Young American Heroes, LLC","$1,596,555.00","2012-04-12T00:00:00.000","$478,967","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"ESPN Enterprises, Inc.","$5,964,327.00","2012-04-18T00:00:00.000","$1,789,298","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"ESPN Internet Ventures","$30,345,835.00","2012-04-18T00:00:00.000","$9,103,751","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"Lighthouse Lane Films LLC","$340,869.00","2012-05-01T00:00:00.000","$102,261","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"The Brand Gallery","$3,298,184.00","2012-05-02T00:00:00.000","$659,637","Film Infrastructure Tax Credit","CGS 12-217kk","Greenwich"
"Remote Broadcasting, Inc.","$25,389,055.00","2012-05-07T00:00:00.000","$7,616,717","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Bret Stern Productions, LLC","$1,092,202.00","2012-05-10T00:00:00.000","$327,661","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"LifeMed Media Inc.","$2,724,895.00","2012-05-10T00:00:00.000","$817,469","Film and Digital Media Production Tax Credit","CGS 12-217jj","Westport"
"MRB Productions, Inc.","$199,429.00","2012-06-21T00:00:00.000","$19,943","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
