"Production Company","Qualified CT Expenditures","Date Issued","Amount of Tax Credit Issued","Program Name","Statutory Reference","Municipality"
"Swing by Swing Golf, Inc.","$2,573,487.00","2022-02-09T00:00:00.000","$772,046","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"ITV America, Inc.","$4,180,149.00","2022-02-15T00:00:00.000","$836,030","Film Infrastructure Tax Credit","CGS 12-217kk","Stamford"
"Bob's Discount Furniture LLC","$2,702,942.00","2022-02-18T00:00:00.000","$810,883","Film and Digital Media Production Tax Credit","CGS 12-217jj","Manchester"
"Triple Threat Connecticut, LLC","$1,034,275.00","2022-03-03T00:00:00.000","$310,283","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Grey Wall Software, LLC","$4,054,549.00","2022-03-04T00:00:00.000","$1,216,365","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"ITV America, Inc.","$27,383,490.00","2022-03-24T00:00:00.000","$8,215,047","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBC Sports Network, LP","$72,001,289.00","2022-03-25T00:00:00.000","$21,600,387","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Hot Snakes Holdings, LLC","$4,074,781.00","2022-04-29T00:00:00.000","$1,222,434","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Pep Films, LLC","$1,292,121.00","2022-05-06T00:00:00.000","$387,636","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"Park Slope Productions, Inc.","$4,444,563.00","2022-07-19T00:00:00.000","$1,333,369","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"XVIVO, LLC","$1,753,345.00","2022-07-29T00:00:00.000","$526,004","Film and Digital Media Production Tax Credit","CGS 12-217jj","Wethersfield"
"National Media Connection LLC","$501,790.00","2022-08-05T00:00:00.000","$75,269","Film and Digital Media Production Tax Credit","CGS 12-217jj","New London"
"Ralph Edwards/Stu Billett Productions","$12,529,939.00","2022-08-19T00:00:00.000","$3,758,982","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"CT The Film, Inc.","$1,131,842.00","2022-08-26T00:00:00.000","$339,553","Film and Digital Media Production Tax Credit","CGS 12-217jj","Salisbury"
"Stephen David Entertainment, LLC","$9,937,981.00.","2022-09-02T00:00:00.000","$2,981,394","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
